"","recipient_city","Primary_Type","Payment","date","year","Number_of_Payments","Payment_Form","Payment_Nature","Third_Party_Payment"
"75179","SIOUX FALLS","Doctor of Osteopathy",3800,2015-09-29,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75203","SIOUX FALLS","Medical Doctor",1750,2015-09-29,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75239","SIOUX FALLS","Medical Doctor",1750,2015-09-29,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75244","SIOUX FALLS","Medical Doctor",1750,2015-09-29,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75295","Sioux Falls","Medical Doctor",4500,2015-09-30,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"75300","Sioux Falls","",2000,2015-09-30,"2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"75388","SIOUX FALLS","Doctor of Osteopathy",1900,2015-10-02,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75434","SIOUX FALLS","Medical Doctor",2500,2015-10-03,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75440","SIOUX FALLS","Medical Doctor",1821.68,2015-10-03,"2015",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"75448","SIOUX FALLS","Medical Doctor",1705.79,2015-10-03,"2015",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"75453","SIOUX FALLS","Medical Doctor",2500,2015-10-03,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75479","SIOUX FALLS","Medical Doctor",2650,2015-10-05,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75521","SIOUX FALLS","Medical Doctor",2150,2015-10-06,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75560","SIOUX FALLS","Medical Doctor",2100,2015-10-06,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75620","SIOUX FALLS","",2000,2015-10-07,"2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"75664","SIOUX FALLS","Medical Doctor",7449.81,2015-10-08,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"75676","SIOUX FALLS","Medical Doctor",2125,2015-10-08,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"75706","SIOUX FALLS","Medical Doctor",3000,2015-10-08,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75710","SIOUX FALLS","Doctor of Osteopathy",2300,2015-10-08,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75718","SIOUX FALLS","Medical Doctor",1000.73,2015-10-08,"2015",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"75752","SIOUX FALLS","Doctor of Dentistry",1011.7,2015-10-09,"2015",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"75769","SIOUX FALLS","Medical Doctor",1900,2015-10-09,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75801","Sioux Falls","",1912.5,2015-10-10,"2015",1,"Cash or cash equivalent","Education","No Third Party Payment"
"75833","SIOUX FALLS","Medical Doctor",1650,2015-10-12,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75919","SIOUX FALLS","Medical Doctor",12235.33,2015-10-13,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"75952","SIOUX FALLS","Medical Doctor",2875,2015-10-14,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75976","RAPID CITY","Medical Doctor",3000,2015-10-14,"2015",1,"In-kind items and services","Education","No Third Party Payment"
"75977","SIOUX FALLS","Medical Doctor",5500,2015-10-14,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75991","SIOUX FALLS","Medical Doctor",3750,2015-10-14,"2015",1,"Cash or cash equivalent","Compensation for serving as faculty or as a speaker for a non-accredited and noncertified continuing education program","No Third Party Payment"
"76015","SIOUX FALLS","Medical Doctor",1500,2015-10-14,"2015",1,"Cash or cash equivalent","Compensation for serving as faculty or as a speaker for a non-accredited and noncertified continuing education program","No Third Party Payment"
"76035","SIOUX FALLS","Medical Doctor",1200,2015-10-15,"2015",1,"Cash or cash equivalent","Honoraria","No Third Party Payment"
"76047","SIOUX FALLS","Doctor of Optometry",2000,2015-10-15,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"76062","SIOUX FALLS","Medical Doctor",1025.7,2015-10-15,"2015",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"76085","Sioux Falls","Medical Doctor",4440,2015-10-15,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"76107","SIOUX FALLS","Medical Doctor",2150,2015-10-15,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"76125","SIOUX FALLS","Medical Doctor",2100,2015-10-15,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"76136","SIOUX FALLS","Medical Doctor",25565.89,2015-10-16,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"76231","SIOUX FALLS","Medical Doctor",8400,2015-10-19,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"76253","SIOUX FALLS","Medical Doctor",1250,2015-10-20,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"76257","Dakota Dunes","Medical Doctor",2800,2015-10-20,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"76264","WATERTOWN","Medical Doctor",1250,2015-10-20,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"76340","SIOUX FALLS","Medical Doctor",1500,2015-10-21,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"76349","SIOUX FALLS","Medical Doctor",2100,2015-10-21,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"76356","SIOUX FALLS","Medical Doctor",1182.85,2015-10-22,"2015",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"76390","SIOUX FALLS","Medical Doctor",1328.96,2015-10-22,"2015",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"76407","RAPID CITY","Medical Doctor",6000,2015-10-22,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"76425","SIOUX FALLS","Medical Doctor",4440,2015-10-22,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"76432","SIOUX FALLS","Medical Doctor",4440,2015-10-22,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"76447","SIOUX FALLS","Medical Doctor",3261.35,2015-10-23,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"76449","SIOUX FALLS","Medical Doctor",1900,2015-10-23,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"76480","Sioux Falls","Medical Doctor",2500,2015-10-24,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"76501","Sioux Falls","Medical Doctor",2800,2015-10-26,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
